size,2d_rnaEasy_0.1_AMG,2d_rnaEasy_0.01_AMG,2d_rnaEasy_0.05_AMG,3d_rnaEasy_1.0_AMG
716.5,0,0,0,12000
717.5,0,0,0,11120
718.5,0,0,0,10240
719.5,0,0,0,9440
720.5,0,0,0,8720
721.5,0,0,0,8080
722.5,0,0,0,7440
723.5,0,0,0,6800
724.5,0,0,0,6240
725.5,0,0,0,5760
726.5,0,0,0,5280
727.5,0,0,0,4880
728.5,0,0,0,4480
729.5,0,0,0,4080
730.5,0,0,0,3760
731.5,0,0,0,3440
732.5,0,0,0,3120
733.5,0,0,0,2880
734.5,0,0,0,2560
735.5,0,0,0,2400
736.5,0,0,0,2160
737.5,0,0,0,2000
738.5,0,0,0,1760
739.5,0,0,0,1600
740.5,0,0,0,1440
741.5,0,0,0,1360
742.5,0,0,0,1200
743.5,0,0,0,1120
744.5,0,0,0,960
745.5,0,0,0,880
746.5,0,0,0,800
747.5,0,0,0,720
748.5,0,0,0,640
749.5,0,0,0,560
750.5,0,0,0,560
751.5,0,0,0,480
752.5,0,0,0,400
753.5,0,0,0,400
754.5,0,0,0,320
755.5,0,0,0,320
756.5,0,0,0,320
757.5,0,0,0,240
758.5,0,0,0,240
759.5,0,0,0,240
760.5,0,0,0,160
761.5,0,0,0,160
762.5,0,0,0,160
763.5,0,0,0,160
764.5,0,0,0,80
765.5,0,0,0,80
766.5,0,0,0,80
767.5,0,0,0,80
768.5,0,0,0,0
769.5,0,0,0,0
770.5,0,0,0,0
771.5,0,0,0,0
772.5,0,0,0,0
773.5,0,0,0,0
774.5,0,0,0,0
775.5,0,0,0,0
776.5,0,0,0,0
777.5,0,0,0,0
778.5,0,0,0,0
779.5,0,0,0,0
780.5,0,0,0,0
781.5,0,0,0,0
782.5,0,0,0,0
783.5,0,0,0,0
784.5,0,0,0,0
785.5,0,0,0,0
786.5,0,0,0,0
787.5,0,0,0,0
788.5,0,0,0,0
789.5,0,0,0,0
790.5,0,0,0,0
791.5,0,0,0,0
792.5,0,0,0,0
793.5,0,0,0,0
794.5,0,0,0,0
795.5,0,0,0,0
796.5,0,0,0,0
797.5,0,0,0,0
798.5,0,0,0,0
799.5,0,0,0,0
800.5,0,0,0,0
801.5,0,0,0,0
802.5,0,0,0,0
803.5,0,0,0,0
804.5,0,0,0,0
805.5,0,0,0,0
806.5,0,0,0,0
807.5,0,0,0,0
808.5,0,0,0,0
809.5,0,0,0,0
810.5,0,0,0,0
811.5,0,0,0,0
812.5,0,0,0,0
813.5,0,0,0,0
814.5,0,0,0,0
815.5,0,0,0,0
816.5,0,0,0,0
817.5,0,0,0,0
818.5,0,0,0,0
819.5,0,0,0,0
820.5,0,0,0,0
821.5,0,0,0,0
822.5,0,0,0,0
823.5,0,0,0,0
824.5,0,0,0,0
825.5,0,0,0,0
826.5,0,0,0,0
827.5,0,0,0,0
828.5,0,0,0,0
829.5,0,0,0,0
830.5,0,0,0,0
831.5,0,0,0,0
832.5,0,0,0,0
833.5,0,0,0,0
834.5,0,0,0,0
835.5,0,0,0,0
836.5,0,0,0,0
837.5,0,0,0,0
838.5,0,0,0,0
839.5,0,0,0,0
840.5,0,0,0,0
841.5,0,0,0,0
842.5,0,0,0,0
843.5,0,0,0,0
844.5,0,0,0,0
845.5,0,0,0,0
846.5,0,0,0,0
847.5,0,0,0,0
848.5,0,0,0,0
849.5,0,0,0,0
850.5,0,0,0,0
851.5,0,0,0,0
852.5,0,0,0,0
853.5,0,0,0,0
854.5,0,0,0,0
855.5,0,0,0,0
856.5,0,0,0,0
857.5,0,0,0,0
858.5,0,0,0,0
859.5,0,0,0,0
860.5,0,0,0,0
861.5,0,0,0,0
862.5,0,0,0,0
863.5,0,0,0,0
864.5,0,0,0,0
865.5,0,0,0,0
866.5,0,0,0,0
867.5,0,0,0,0
868.5,0,0,0,0
869.5,0,0,0,0
870.5,0,0,0,0
871.5,0,0,0,0
872.5,0,0,0,0
873.5,0,0,0,0
874.5,0,0,0,0
875.5,0,0,0,0
876.5,0,0,0,0
877.5,0,0,0,0
878.5,0,0,0,0
879.5,0,0,0,0
880.5,0,0,0,0
881.5,0,0,0,0
882.5,0,0,0,0
883.5,0,0,0,0
884.5,0,0,0,0
885.5,0,0,0,0
886.5,0,0,0,0
887.5,0,0,0,0
888.5,0,0,0,0
889.5,0,0,0,0
890.5,0,0,0,0
891.5,0,0,0,0
892.5,0,0,0,0
893.5,0,0,0,0
894.5,0,0,0,0
895.5,0,0,0,0
896.5,0,0,0,0
897.5,0,0,0,0
898.5,0,0,0,0
899.5,0,0,0,0
900.5,0,0,0,0
901.5,0,0,0,0
902.5,0,0,0,0
903.5,0,0,0,0
904.5,0,0,0,0
905.5,0,0,0,0
906.5,0,0,0,0
907.5,0,0,0,0
908.5,0,0,0,0
909.5,0,0,0,0
910.5,0,0,0,0
911.5,0,0,0,0
912.5,0,0,0,0
913.5,0,0,0,0
914.5,0,0,0,0
915.5,0,0,0,0
916.5,0,0,0,0
917.5,0,0,0,0
918.5,0,0,0,0
919.5,0,0,0,0
920.5,0,0,0,0
921.5,0,0,0,0
922.5,0,0,0,0
923.5,0,0,0,0
924.5,0,0,0,0
925.5,0,0,0,0
926.5,0,0,0,0
927.5,0,0,0,0
928.5,0,0,0,0
929.5,0,0,0,0
930.5,0,0,0,0
931.5,0,0,0,0
932.5,0,0,0,0
933.5,0,0,0,0
934.5,0,0,0,0
