size,,3d_rnaEasy_DMSO_2,2d_rnaEasy_DMSO_1,3d_rnaEasy_DMSO_1
598.5,,0,0,241800
599.5,,0,0,229200
600.5,,0,0,217000
601.5,,0,0,205400
602.5,,0,0,194200
603.5,,0,0,183600
604.5,,0,0,173400
605.5,,0,0,163700
606.5,,0,0,154500
607.5,,0,0,145600
608.5,,0,0,137200
609.5,,0,0,129200
610.5,,0,0,121600
611.5,,0,0,114300
612.5,,0,0,107400
613.5,,0,0,100900
614.5,,0,0,94700
615.5,,0,0,88800
616.5,,0,0,83200
617.5,,0,0,77900
618.5,,0,0,72900
619.5,,0,0,68200
620.5,,0,0,63700
621.5,,0,0,59500
622.5,,0,0,55600
623.5,,0,0,51800
624.5,,0,0,48300
625.5,,0,0,45000
626.5,,0,0,41900
627.5,,0,0,39000
628.5,,0,0,36300
629.5,,0,0,33700
630.5,,0,0,31300
631.5,,0,0,29100
632.5,,0,0,27000
633.5,,0,0,25100
634.5,,0,0,23300
635.5,,0,0,21600
636.5,,0,0,20100
637.5,,0,0,18700
638.5,,0,0,17300
639.5,,0,0,16100
640.5,,0,0,15000
641.5,,0,0,14000
642.5,,0,0,13000
643.5,,0,0,12200
644.5,,0,0,11400
645.5,,0,0,10700
646.5,,0,0,10000
647.5,,0,0,9500
648.5,,0,0,8900
649.5,,0,0,8500
650.5,,0,0,8100
651.5,,0,0,7800
652.5,,0,0,7500
653.5,,0,0,7200
654.5,,0,0,7000
655.5,,0,0,6900
656.5,,0,0,6800
657.5,,0,0,6700
658.5,,0,0,6700
659.5,,0,0,6700
660.5,,0,0,6800
661.5,,0,0,6900
662.5,,0,0,7000
663.5,,0,0,7200
664.5,,0,0,7400
665.5,,0,0,7600
666.5,,0,0,7900
667.5,,0,0,8200
668.5,,0,0,8600
669.5,,0,0,9000
670.5,,0,0,9400
671.5,,0,0,9900
672.5,,0,0,10400
673.5,,0,0,11000
674.5,,0,0,11600
675.5,,0,0,12300
676.5,,0,0,13000
677.5,,0,0,13800
678.5,,0,0,14600
679.5,,0,0,15500
680.5,,0,0,16400
681.5,,0,0,17400
682.5,,0,0,18500
683.5,,0,0,19600
684.5,,0,0,20800
685.5,,0,0,22000
686.5,,0,0,23400
687.5,,0,0,24800
688.5,,0,0,26300
689.5,,0,0,27900
690.5,,0,0,29600
691.5,,0,0,31400
692.5,,0,0,33200
693.5,,0,0,35200
694.5,,0,0,37300
695.5,,0,0,39500
696.5,,0,0,41800
697.5,,0,0,44200
698.5,,0,0,46700
699.5,,0,0,49400
700.5,,0,0,52200
701.5,,0,0,55100
702.5,,0,0,58100
703.5,,0,0,61300
704.5,,0,0,64600
705.5,,0,0,68100
706.5,,0,0,71700
707.5,,0,0,75400
708.5,,0,0,79300
709.5,,0,0,83300
710.5,,0,0,87500
711.5,,0,0,91800
712.5,,0,0,96300
713.5,,0,0,101000
714.5,,0,0,105800
715.5,,0,0,110700
716.5,,0,0,115800
717.5,,0,0,121000
718.5,,0,0,126400
719.5,,0,0,131900
720.5,,0,0,137500
721.5,,0,0,143300
722.5,,0,0,149200
723.5,,0,0,155200
724.5,,0,0,161300
725.5,,0,0,167500
726.5,,0,0,173900
727.5,,0,0,180300
728.5,,0,0,186700
729.5,,0,0,193300
730.5,,0,0,199900
731.5,,0,0,206500
732.5,,0,0,213200
733.5,,0,0,219800
734.5,,0,0,226500
735.5,,0,0,233200
736.5,,0,0,239800
737.5,,0,0,246400
738.5,,0,0,252900
739.5,,0,0,259400
740.5,,0,0,265800
741.5,,0,0,272000
742.5,,0,0,278100
743.5,,0,0,284100
744.5,,0,0,289900
745.5,,0,0,295600
746.5,,0,0,301000
747.5,,0,0,306300
748.5,,0,0,311300
749.5,,0,0,316100
750.5,,0,0,320600
751.5,,0,0,324800
752.5,,0,0,328700
753.5,,0,0,332400
754.5,,0,0,335700
755.5,,0,0,338700
756.5,,0,0,341300
757.5,,0,0,343700
758.5,,0,0,345600
759.5,,0,0,347200
760.5,,0,0,348400
761.5,,0,0,349200
762.5,,0,0,349700
763.5,,0,0,349700
764.5,,0,0,349400
765.5,,0,0,348700
766.5,,0,0,347600
767.5,,0,0,346100
768.5,,0,0,344200
769.5,,0,0,341900
770.5,,0,0,339300
771.5,,0,0,336300
772.5,,0,0,333000
773.5,,0,0,329300
774.5,,0,0,325300
775.5,,0,0,320900
776.5,,0,0,316300
777.5,,0,0,311400
778.5,,0,0,306100
779.5,,0,0,300700
780.5,,0,0,294900
781.5,,0,0,289000
782.5,,0,0,282800
783.5,,0,0,276500
784.5,,0,0,269900
785.5,,0,0,263200
786.5,,0,0,256400
787.5,,0,0,249500
788.5,,0,0,242400
789.5,,0,0,235300
790.5,,0,0,228100
791.5,,0,0,220900
792.5,,0,0,213600
793.5,,0,0,206300
794.5,,0,0,199100
795.5,,0,0,191900
796.5,,0,0,184700
797.5,,0,0,177500
798.5,,0,0,170500
799.5,,0,0,163500
800.5,,0,0,156600
801.5,,0,0,149800
802.5,,0,0,143200
803.5,,0,0,136700
804.5,,0,0,130300
805.5,,0,0,124000
806.5,,0,0,117900
807.5,,0,0,112000
808.5,,0,0,106300
809.5,,0,0,100700
810.5,,0,0,95300
811.5,,0,0,90100
812.5,,0,0,85000
813.5,,0,0,80200
814.5,,0,0,75500
815.5,,0,0,71000
816.5,,0,0,66700
817.5,,0,0,62600
818.5,,0,0,58700
819.5,,0,0,54900
820.5,,0,0,51400
821.5,,0,0,48000
822.5,,0,0,44700
823.5,,0,0,41700
824.5,,0,0,38800
825.5,,0,0,36000
826.5,,0,0,33400
827.5,,0,0,31000
828.5,,0,0,28700
829.5,,0,0,26500
830.5,,0,0,24500
831.5,,0,0,22600
832.5,,0,0,20800
833.5,,0,0,19200
834.5,,0,0,17600
835.5,,0,0,16200
836.5,,0,0,14800
837.5,,0,0,13600
838.5,,0,0,12400
839.5,,0,0,11300
840.5,,0,0,10300
841.5,,0,0,9400
842.5,,0,0,8600
843.5,,0,0,7800
844.5,,0,0,7100
845.5,,0,0,6400
846.5,,0,0,5800
847.5,,0,0,5300
848.5,,0,0,4800
849.5,,0,0,4300
850.5,,0,0,3900
851.5,,0,0,3500
852.5,,0,0,3100
853.5,,0,0,2800
854.5,,0,0,2500
855.5,,0,0,2300
856.5,,0,0,2000
857.5,,0,0,1800
858.5,,0,0,1600
859.5,,0,0,1400
860.5,,0,0,1300
861.5,,0,0,1100
862.5,,0,0,1000
863.5,,0,0,900
864.5,,0,0,800
865.5,,0,0,700
866.5,,0,0,600
867.5,,0,0,600
868.5,,0,0,500
869.5,,0,0,400
870.5,,0,0,400
871.5,,0,0,300
872.5,,0,0,300
873.5,,0,0,300
874.5,,0,0,200
875.5,,0,0,200
876.5,,0,0,200
877.5,,0,0,100
878.5,,0,0,100
879.5,,0,0,100
880.5,,0,0,0
881.5,,0,0,0
882.5,,0,0,0
883.5,,0,0,0
884.5,,0,0,0
885.5,,0,0,0
886.5,,0,0,0
887.5,,0,0,0
888.5,,0,0,0
889.5,,0,0,0
890.5,,0,0,0
891.5,,0,0,0
892.5,,0,0,0
893.5,,0,0,0
894.5,,0,0,0
895.5,,0,0,0
896.5,,0,0,0
897.5,,0,0,0
898.5,,0,0,0
899.5,,0,0,0
900.5,,0,0,0
901.5,,0,0,0
902.5,,0,0,0
903.5,,0,0,0
904.5,,0,0,0
905.5,,0,0,0
906.5,,0,0,0
907.5,,0,0,0
908.5,,0,0,0
909.5,,0,0,0
910.5,,0,0,0
911.5,,0,0,0
912.5,,0,0,0
913.5,,0,0,0
914.5,,0,0,0
915.5,,0,0,0
916.5,,0,0,0
917.5,,0,0,0
918.5,,0,0,0
919.5,,0,0,0
920.5,,0,0,0
921.5,,0,0,0
922.5,,0,0,0
923.5,,0,0,0
924.5,,0,0,0
925.5,,0,0,0
926.5,,0,0,0
927.5,,0,0,0
928.5,,0,0,0
929.5,,0,0,0
